id,name,segment_start_m,segment_end_m,apex_d,ref_vmin,drv_vmin,drv_vmin_d,d_vmin,time_lost,ref_brake_d,drv_brake_d,d_brake_m,ref_slip,drv_slip,ref_abs,drv_abs,flags,ref_gas100_d,drv_gas100_d,d_gas100_m
C01,C01,258,853,708,111,110,704,-1,0.02,551,547,-4,5.0,5.16,8,12,,,,
C02,C02,853,1294,998,150,148,998,-2,-0.06,,,,1.66,2.24,0,0,,1162,1107,-55
C03,C03,1294,1782,1589,109,111,1587,2,-0.02,1458,1453,-5,4.27,4.96,10,14,,1746,1726,-20
C04,C04,1782,2176,1974,82,82,1972,0,-0.06,1871,1871,0,5.5,6.0,12,20,,2049,2038,-11
C05,C05,2176,2434,2377,118,116,2372,-2,-0.02,2292,2295,3,6.0,6.91,10,13,,,,
C06,C06,2434,2612,2475,147,132,2434,-15,-0.01,,,,2.2,3.18,0,0,vmin,2491,2447,-44
C07,C07,2612,3032,2734,158,159,2716,1,-0.03,2646,2647,1,1.76,2.47,3,4,,2830,2783,-47
C08,C08,3032,3468,3331,79,81,3333,2,-0.02,3196,3193,-3,7.26,7.26,18,20,,,,
C09,C09,3468,3755,3606,97,96,3608,-1,-0.1,3523,3521,-2,4.66,5.46,5,3,,3719,3709,-10
C10,C10,3755,4026,3885,179,159,3755,-20,0.02,,,,1.2,1.69,0,0,vmin,3964,3756,-208
C11,C11,4026,4499,4149,168,166,4143,-2,-0.01,4041,4047,6,0.86,1.23,2,3,,4246,4226,-20
