dist,delta_t,ref_speed,drv_speed,ref_throttle,drv_throttle,ref_brake,drv_brake,ref_steering,drv_steering,ref_gear,drv_gear,ref_glat,drv_glat,ref_glong,drv_glong,ref_rpm,drv_rpm
0.0,0.0,242.0,242.0,100.0,100.0,0.0,0.0,0.03,0.01,5.0,5.0,-0.01,0.02,0.17,0.2,6915.0,6850.0
5.0,0.0,243.0,242.0,100.0,100.0,0.0,0.0,0.02,0.08,5.0,5.0,-0.02,0.0,0.2,0.19,6943.0,6880.0
10.0,-0.010000000000005116,243.0,243.0,100.0,100.0,0.0,0.0,0.055,0.03,5.0,5.0,0.0,0.01,0.195,0.21,6963.5,6894.0
15.0,0.0,244.0,243.0,100.0,100.0,0.0,0.0,0.04,0.0,5.0,5.0,-0.01,0.01,0.22,0.22,6963.0,6899.0
20.0,0.0,244.0,244.0,100.0,100.0,0.0,0.0,-0.01,0.0,5.0,5.0,0.0,0.01,0.2,0.2,6989.0,6915.0
25.0,0.0,245.0,244.0,100.0,100.0,0.0,0.0,0.0,0.07,5.0,5.0,0.005,0.005,0.20500000000000002,0.185,6995.5,6928.0
30.0,0.0,245.0,245.0,100.0,100.0,0.0,0.0,0.02,0.02,5.0,5.0,0.0,0.01,0.2,0.2,7012.0,6945.0
35.0,0.0,246.0,245.0,100.0,100.0,0.0,0.0,0.02,0.0,5.0,5.0,0.0,0.0,0.19,0.19,7040.0,6970.0
40.0,0.0,246.0,246.0,100.0,100.0,0.0,0.0,-0.005,0.0,5.0,5.0,0.005,0.005,0.2,0.2,7041.0,6978.0
45.0,0.0,247.0,246.0,100.0,100.0,0.0,0.0,0.01,0.02,5.0,5.0,0.01,0.01,0.18,0.19,7057.0,6983.0
50.0,0.0,247.0,247.0,100.0,100.0,0.0,0.0,-0.01,0.01,5.0,5.0,0.0,0.0,0.18,0.18,7085.0,7022.0
55.0,-0.010000000000005116,248.0,247.0,100.0,100.0,0.0,0.0,-0.02,0.01,5.0,5.0,0.01,0.0,0.19,0.18,7077.5,7024.0
60.0,0.0,248.0,248.0,100.0,100.0,0.0,0.0,-0.01,0.03,5.0,5.0,0.02,0.01,0.17,0.18,7092.0,7022.0
65.0,-0.009999999999990905,249.0,248.0,100.0,100.0,0.0,0.0,0.0,0.09,5.0,5.0,0.0,-0.005,0.17,0.175,7116.0,7052.5
70.0,0.0,249.0,249.0,100.0,100.0,0.0,0.0,-0.03,0.03,5.0,5.0,0.01,0.0,0.18,0.19,7107.0,7049.0
75.0,0.0,250.0,249.0,100.0,100.0,0.0,0.0,-0.01,0.07,5.0,5.0,0.01,0.0,0.16,0.18,7134.0,7072.0
80.0,0.0,250.0,250.0,100.0,100.0,0.0,0.0,0.005,0.03,5.0,5.0,0.02,0.0,0.165,0.175,7135.0,7081.5
85.0,0.0,250.0,250.0,39.0,100.0,0.0,0.0,0.0,-0.03,1.0,5.0,0.01,0.01,0.15,0.17,7133.0,7087.0
90.0,-0.010000000000005116,250.0,250.5,80.0,100.0,0.0,0.0,0.01,-0.01,4.0,5.0,0.01,0.005,-0.21,0.16,6502.0,7110.5
95.0,0.0,250.0,251.0,100.0,100.0,0.0,0.0,0.03,0.0,6.0,5.0,0.01,0.01,0.22,0.19,6178.0,7120.0
100.0,0.0,251.0,251.0,100.0,0.0,0.0,0.0,0.06,0.02,6.0,0.0,0.01,0.01,0.18,0.07,6185.0,7077.0
105.0,-0.010000000000005116,251.0,251.0,100.0,0.0,0.0,0.0,0.07500000000000001,0.05,6.0,0.0,-0.005,0.01,0.17,-0.23,6202.0,6642.0
110.0,0.0,252.0,251.0,100.0,100.0,0.0,0.0,0.04,0.06,6.0,6.0,-0.01,0.0,0.16,0.19,6221.0,6403.0
115.0,0.0,252.0,252.0,100.0,100.0,0.0,0.0,-0.015,0.035,6.0,6.0,0.0,0.0,0.18,0.165,6223.0,6397.0
120.0,0.0,253.0,252.0,100.0,100.0,0.0,0.0,-0.03,0.05,6.0,6.0,0.0,0.0,0.18,0.18,6232.0,6407.0
125.0,-0.010000000000005116,253.0,253.0,100.0,100.0,0.0,0.0,-0.05,0.055,6.0,6.0,0.01,0.0,0.15,0.17,6242.0,6413.5
130.0,0.0,254.0,253.0,100.0,100.0,0.0,0.0,-0.05,0.1,6.0,6.0,0.01,-0.01,0.18,0.17,6256.0,6433.0
135.0,0.0,254.0,254.0,100.0,100.0,0.0,0.0,-0.05,0.07,6.0,6.0,0.02,-0.01,0.15,0.15,6274.0,6451.0
140.0,0.0,254.0,254.0,100.0,100.0,0.0,0.0,-0.04,0.07,6.0,6.0,0.02,-0.01,0.18,0.17,6277.0,6452.0
145.0,0.0,255.0,254.0,100.0,100.0,0.0,0.0,0.0,0.07,6.0,6.0,0.02,0.0,0.17,0.16,6291.0,6466.0
150.0,-0.009999999999990905,255.0,255.0,100.0,100.0,0.0,0.0,0.11499999999999999,0.14,6.0,6.0,0.0,-0.02,0.16999999999999998,0.16,6295.5,6470.0
155.0,0.0,256.0,255.0,100.0,100.0,0.0,0.0,0.03,0.11,6.0,6.0,0.0,-0.02,0.16,0.15,6305.0,6479.0
160.0,0.0,256.0,255.5,100.0,100.0,0.0,0.0,0.02,0.11,6.0,6.0,0.0,-0.025,0.17,0.15000000000000002,6328.5,6505.0
165.0,0.0,257.0,256.0,100.0,100.0,0.0,0.0,0.0,0.04,6.0,6.0,0.0,-0.03,0.17,0.16,6328.0,6504.0
170.0,0.0,257.0,256.0,100.0,100.0,0.0,0.0,0.0,0.005,6.0,6.0,0.0,-0.01,0.15,0.15,6336.5,6510.0
175.0,0.0,257.0,257.0,100.0,100.0,0.0,0.0,0.0,0.04,6.0,6.0,0.0,-0.01,0.15,0.15,6351.0,6525.0
180.0,0.0,258.0,257.0,100.0,100.0,0.0,0.0,0.0,0.02,6.0,6.0,0.0,-0.005,0.175,0.165,6364.5,6542.5
185.0,0.0,258.0,258.0,100.0,100.0,0.0,0.0,0.04,-0.03,6.0,6.0,0.01,0.0,0.14,0.16,6368.0,6545.0
190.0,0.009999999999990905,258.0,258.0,100.0,100.0,0.0,0.0,0.02,0.005,6.0,6.0,0.0,0.015,0.16,0.155,6379.0,6551.0
195.0,0.0,259.0,258.0,100.0,100.0,0.0,0.0,0.1,0.02,6.0,6.0,0.0,0.01,0.16,0.15,6393.0,6570.0
200.0,0.0,259.0,259.0,100.0,100.0,0.0,0.0,0.13,-0.03,6.0,6.0,-0.01,0.02,0.16,0.16,6406.0,6583.0
205.0,0.0,260.0,259.0,100.0,100.0,0.0,0.0,0.2,0.04,6.0,6.0,-0.04,0.02,0.16,0.16,6410.0,6588.0
210.0,0.0,260.0,259.0,100.0,100.0,0.0,0.0,0.19,0.04,6.0,6.0,-0.05,0.01,0.17,0.17,6408.0,6585.0
215.0,0.0,261.0,260.0,100.0,100.0,0.0,0.0,0.1,0.04,6.0,6.0,-0.03,0.01,0.15,0.16,6430.0,6604.0
220.0,0.0,261.0,260.0,100.0,100.0,0.0,0.0,0.1,0.05,6.0,6.0,-0.04,0.01,0.15,0.15,6436.0,6614.0
225.0,0.0,261.0,261.0,100.0,100.0,0.0,0.0,0.05,0.005,6.0,6.0,-0.035,0.0,0.16,0.155,6438.0,6612.0
230.0,-2.842170943040401e-14,262.0,261.0,100.0,100.0,0.0,0.0,0.08,0.05,6.0,6.0,-0.04,0.0,0.14,0.14,6460.0,6639.0
235.0,-1.4210854715202004e-14,262.0,261.0,100.0,100.0,0.0,0.0,0.10500000000000001,0.055,6.0,6.0,-0.03,0.0,0.175,0.155,6467.0,6646.5
240.0,0.0,262.0,262.0,100.0,100.0,0.0,0.0,0.12,0.03,6.0,6.0,-0.04,0.0,0.16,0.15,6467.0,6645.0
245.0,0.010000000000005116,263.0,262.0,100.0,100.0,0.0,0.0,0.06,0.03,6.0,6.0,-0.02,0.0,0.13,0.14500000000000002,6483.0,6655.0
