id,name,segment_start_m,segment_end_m,apex_d,ref_vmin,drv_vmin,drv_vmin_d,d_vmin,time_lost,ref_brake_d,drv_brake_d,d_brake_m,ref_gas100_d,drv_gas100_d,d_gas100_m,ref_slip,drv_slip,ref_abs,drv_abs,flags
C01,C01,-373,229,77,87,84,72,-3,-0.08,0,0,0,141,132,-9,6.58,7.63,8,17,
C02,C02,229,622,359,207,173,229,-34,-0.03,,,,472,230,-242,0.26,0.32,0,0,vmin
C03,C03,622,944,863,128,131,868,3,-0.07,801,805,4,,,,6.29,5.96,13,14,
C04,C04,944,1086,1006,168,142,1086,-26,-0.08,,,,,,,2.91,3.65,5,5,vmin
C05,C05,1086,1246,1149,131,132,1134,1,-0.04,1117,1115,-2,1232,1174,-58,4.01,3.11,3,2,
C06,C06,1246,1398,1344,119,120,1345,1,-0.02,1275,1272,-3,,,,5.97,5.42,6,6,
C07,C07,1398,1792,1436,152,136,1398,-16,-0.02,,,,1454,1399,-55,0.76,0.59,0,0,vmin
C08,C08,1792,2211,2151,237,232,2195,-5,0.01,2078,2079,1,,,,0.21,0.16,0,0,
C09,C09,2211,2640,2265,234,232,2211,-2,-0.01,,,,2291,2213,-78,0.0,0.02,0,0,
C10,C10,2881,3384,3362,277,274,3383,-3,0.03,3289,3294,5,,,,0.09,0.04,0,0,
C11,C11,3384,3572,3426,273,245,3572,-28,0.01,,,,,,,0.6,0.44,0,0,vmin
C12,C12,3572,4058,3708,114,114,3681,0,-0.02,3573,3572,-1,3813,3760,-53,3.3,3.61,9,11,
C13,C13,4331,4850,4801,220,184,4850,-36,0.06,4682,4817,135,,,,1.54,2.03,7,12,vmin+frenada
C14,C14,4850,4982,4918,160,151,4982,-9,-0.06,4850,4968,118,,,,4.15,1.98,7,4,vmin+frenada
C15,C15,4982,5395,5045,90,90,5031,0,-0.16,4982,4982,0,5167,5151,-16,3.51,3.47,7,10,
C16,C16,5430,5910,5815,220,215,5430,-5,-0.03,5715,5907,192,5865,5431,-434,0.25,0.29,0,0,frenada
