dist,delta_t,ref_speed,drv_speed,ref_throttle,drv_throttle,ref_brake,drv_brake,ref_steering,drv_steering,ref_gear,drv_gear,ref_glat,drv_glat,ref_glong,drv_glong,ref_rpm,drv_rpm
0.0,0.0,168.0,170.0,0.0,0.0,100.0,100.0,0.27,-0.09,2.0,0.0,-0.07,0.0,-1.74,-1.73,6777.0,8454.0
5.0,0.0,162.0,165.0,0.0,0.0,100.0,100.0,-0.57,-0.11,2.0,2.0,0.01,0.02,-1.24,-1.47,6242.0,8284.0
10.0,0.0,158.0,160.0,0.0,0.0,100.0,100.0,-1.02,-0.25,2.0,2.0,0.06,0.05,-1.1,-0.89,6061.0,7654.0
15.0,-0.01999999999998181,152.0,156.0,0.0,0.0,100.0,100.0,-1.22,-0.76,2.0,2.0,0.13,0.14,-1.39,-1.31,5774.0,7646.0
20.0,-0.01999999999998181,145.0,149.0,27.0,0.0,100.0,100.0,-2.1,-1.9,0.0,2.0,0.34,0.23,-1.8,-1.61,7323.0,7385.0
25.0,-0.01999999999998181,137.0,141.0,0.0,0.0,100.0,100.0,-3.71,-5.07,1.0,2.0,0.23,0.36,-1.15,-1.71,6757.0,7333.0
30.0,-0.01999999999998181,132.0,136.0,0.0,69.0,100.0,100.0,-5.87,-8.72,1.0,0.0,0.41,0.42,-1.49,-1.36,6575.0,7396.0
35.0,-0.01999999999998181,125.0,128.0,0.0,0.0,100.0,100.0,-8.0,-11.7,1.0,1.0,0.47,0.6,-1.35,-1.37,6060.0,8152.0
40.0,-0.040000000000020464,116.0,122.0,0.0,0.0,97.0,100.0,-11.0,-13.84,1.0,1.0,0.85,1.01,-1.44,-1.17,5747.0,7780.0
45.0,-0.03999999999996362,109.0,114.0,9.0,0.0,44.0,100.0,-15.69,-14.93,1.0,1.0,1.13,1.13,-0.71,-1.23,5851.0,7302.0
50.0,-0.040000000000020464,106.0,107.0,8.0,0.0,16.0,100.0,-18.23,-15.76,1.0,1.0,1.44,0.98,-0.31,-1.16,6037.0,6735.0
55.0,-0.040000000000020464,104.0,100.0,1.0,0.0,6.0,75.0,-20.24,-16.7,1.0,1.0,1.38,1.16,-0.21,-0.98,5852.0,6424.0
60.0,-0.020000000000038654,101.0,94.0,0.0,0.0,11.0,20.0,-23.26,-18.33,1.0,1.0,1.85,1.73,-0.44,-0.63,5615.0,6380.0
65.0,-0.020000000000038654,97.0,89.0,0.0,0.0,17.0,14.0,-24.86,-19.0,1.0,1.0,1.69,1.93,-0.5,-0.33,5321.0,6322.0
70.0,0.0,93.0,85.0,0.0,0.0,14.0,11.0,-25.65,-19.45,1.0,1.0,1.67,1.84,-0.36,-0.29,5038.0,5956.0
75.0,0.01999999999998181,88.0,84.0,31.0,42.0,4.0,0.0,-26.17,-17.86,1.0,1.0,2.15,1.75,-0.1,0.39,5084.0,6744.0
80.0,0.020000000000038654,87.0,85.0,63.0,49.0,0.0,0.0,-25.12,-10.62,1.0,1.0,2.01,1.76,0.29,0.55,5350.0,6761.0
85.0,0.040000000000020464,88.0,88.0,65.0,60.0,0.0,0.0,-13.76,-6.94,1.0,1.0,2.1,2.0,0.37,0.74,5420.0,6961.0
90.0,0.03999999999996362,89.0,92.0,68.0,86.0,0.0,0.0,-7.52,-4.97,1.0,1.0,1.67,1.64,0.5,0.87,5615.0,7329.0
95.0,0.01999999999998181,92.0,96.0,68.0,86.0,0.0,0.0,-3.55,-3.85,1.0,1.0,1.38,1.32,0.64,0.84,5794.0,7844.0
100.0,0.0,96.0,101.0,72.0,88.0,0.0,0.0,0.22,-5.06,1.0,1.0,1.43,1.37,0.67,0.83,5975.0,8029.0
105.0,0.0,99.0,105.0,73.0,88.0,0.0,0.0,-1.58,-3.92,1.0,1.0,1.42,1.22,0.74,0.69,6288.0,8420.0
110.0,0.0,103.0,107.0,75.0,78.0,0.0,0.0,-1.3,-3.58,1.0,2.0,1.21,1.09,0.66,0.92,6447.0,7445.0
115.0,-0.020000000000038654,107.0,111.0,83.0,87.0,0.0,0.0,0.28,3.1,1.0,2.0,1.12,1.49,0.79,0.8,6549.0,6789.0
120.0,-0.01999999999998181,111.0,114.0,80.0,82.0,0.0,0.0,-3.0,8.11,1.0,2.0,0.93,1.08,0.76,0.54,6924.0,7280.0
125.0,-0.020000000000038654,114.0,118.0,89.0,84.0,0.0,0.0,-3.81,11.79,1.0,2.0,1.02,1.41,0.72,0.77,6972.0,7087.0
130.0,-0.03999999999996362,118.0,121.0,93.0,91.0,0.0,0.0,-4.13,9.18,1.0,2.0,1.01,1.18,0.65,0.8,7121.0,7189.0
135.0,-0.040000000000020464,120.0,124.0,91.0,100.0,0.0,0.0,-3.56,-1.24,2.0,2.0,0.87,0.89,0.63,0.71,6445.0,7274.0
140.0,-0.020000000000038654,124.0,128.0,97.0,100.0,0.0,0.0,-2.27,-2.71,2.0,2.0,0.93,0.82,0.73,0.73,5763.0,7353.0
145.0,-0.060000000000002274,128.0,131.0,98.0,100.0,0.0,0.0,-2.13,-2.44,2.0,2.0,0.7,0.62,0.73,0.66,5964.0,7571.0
150.0,-0.060000000000002274,131.0,135.0,100.0,100.0,0.0,0.0,-1.71,-1.93,2.0,2.0,0.63,0.68,0.75,0.73,6090.0,7754.0
155.0,-0.040000000000020464,134.0,138.0,100.0,100.0,0.0,0.0,-1.53,-1.22,2.0,2.0,0.5,0.53,0.68,0.66,6244.0,7961.0
160.0,-0.060000000000002274,138.0,141.0,100.0,100.0,0.0,0.0,-0.08,-0.57,2.0,2.0,0.49,0.56,0.74,0.75,6332.0,8132.0
165.0,-0.040000000000020464,140.0,144.0,100.0,100.0,0.0,0.0,0.11,0.09,2.0,2.0,0.25,0.33,0.63,0.57,6572.0,8319.0
170.0,-0.060000000000002274,144.0,147.0,100.0,100.0,0.0,0.0,0.41,0.11,2.0,2.0,0.13,0.28,0.63,0.62,6607.0,8362.0
175.0,-0.060000000000002274,147.0,148.0,100.0,40.0,0.0,0.0,0.73,0.28,2.0,1.0,0.0,0.11,0.64,0.02,6756.0,8175.0
180.0,-0.060000000000002274,150.0,151.0,100.0,100.0,0.0,0.0,0.97,0.27,2.0,3.0,-0.11,0.05,0.63,0.62,6832.0,6926.0
185.0,-0.060000000000002274,152.0,154.0,100.0,100.0,0.0,0.0,1.36,0.62,2.0,3.0,-0.21,-0.05,0.61,0.57,6960.0,7104.0
190.0,-0.060000000000002274,155.0,156.0,100.0,100.0,0.0,0.0,1.93,1.39,2.0,3.0,-0.3,-0.18,0.56,0.55,7091.0,7223.0
195.0,-0.08000000000004093,156.0,158.0,100.0,100.0,0.0,0.0,2.17,1.23,3.0,3.0,-0.35,-0.23,0.75,0.58,6094.0,7273.0
200.0,-0.060000000000002274,158.0,161.0,100.0,100.0,0.0,0.0,2.54,1.24,3.0,3.0,-0.5,-0.26,0.66,0.59,5895.0,7461.0
205.0,-0.07999999999998408,161.0,163.0,100.0,100.0,0.0,0.0,2.88,1.55,3.0,3.0,-0.74,-0.41,0.58,0.58,6013.0,7551.0
210.0,-0.060000000000002274,163.0,165.0,100.0,100.0,0.0,0.0,2.9,2.19,3.0,3.0,-0.72,-0.53,0.53,0.55,6023.0,7591.0
215.0,-0.08000000000004093,165.0,167.0,100.0,100.0,0.0,0.0,3.39,3.24,3.0,3.0,-0.69,-0.52,0.55,0.45,6229.0,7787.0
220.0,-0.060000000000002274,167.0,169.0,100.0,100.0,0.0,0.0,3.45,3.33,3.0,3.0,-0.87,-0.9,0.52,0.54,6211.0,7818.0
225.0,-0.07999999999998408,169.0,171.0,100.0,100.0,0.0,0.0,3.33,3.33,3.0,3.0,-1.01,-1.08,0.56,0.54,6287.0,7934.0
230.0,-0.08000000000004093,171.0,173.0,100.0,100.0,0.0,0.0,3.4,3.1,3.0,3.0,-1.02,-1.22,0.55,0.54,6325.0,7954.0
235.0,-0.07999999999998408,173.0,175.0,100.0,100.0,0.0,0.0,4.44,4.16,3.0,3.0,-0.79,-0.86,0.46,0.45,6433.0,8066.0
240.0,-0.060000000000002274,175.0,177.0,100.0,100.0,0.0,0.0,5.43,4.02,3.0,3.0,-1.07,-1.22,0.52,0.57,6491.0,8199.0
245.0,-0.07999999999998408,177.0,178.0,100.0,100.0,0.0,0.0,5.25,4.07,3.0,3.0,-0.96,-1.14,0.51,0.52,6552.0,8192.0
250.0,-0.07999999999998408,178.0,180.0,100.0,100.0,0.0,0.0,5.34,4.05,3.0,3.0,-1.35,-1.32,0.56,0.56,6623.0,8368.0
255.0,-0.07999999999998408,180.0,182.0,100.0,100.0,0.0,0.0,5.33,4.1,3.0,3.0,-1.39,-1.48,0.53,0.5,6691.0,8367.0
260.0,-0.08000000000004093,182.0,183.0,100.0,100.0,0.0,0.0,5.22,3.92,3.0,3.0,-0.98,-1.06,0.49,0.49,6740.0,8433.0
265.0,-0.0999999999999659,183.0,184.0,100.0,0.0,0.0,0.0,4.83,4.2,3.0,0.0,-1.47,-1.26,0.72,-0.04,6905.0,8275.0
270.0,-0.10000000000002274,185.0,185.0,100.0,100.0,0.0,0.0,4.06,3.44,3.0,4.0,-1.25,-1.56,0.44,0.38,6845.0,7065.0
275.0,-0.07999999999998408,186.0,186.0,100.0,100.0,0.0,0.0,4.22,3.53,3.0,4.0,-1.02,-1.04,0.42,0.38,6964.0,7186.0
280.0,-0.08000000000004093,187.0,188.0,100.0,100.0,0.0,0.0,3.52,3.35,3.0,4.0,-1.36,-1.3,0.51,0.49,6942.0,7251.0
285.0,-0.07999999999998408,189.0,189.0,100.0,100.0,0.0,0.0,3.51,3.49,3.0,4.0,-1.26,-1.54,0.46,0.44,6991.0,7253.0
290.0,-0.07999999999998408,191.0,191.0,100.0,100.0,0.0,0.0,3.35,2.64,3.0,4.0,-1.13,-1.17,0.43,0.41,7057.0,7342.0
295.0,-0.08999999999997499,192.0,192.0,100.0,100.0,0.0,0.0,3.615,3.09,3.0,4.0,-1.0550000000000002,-1.21,0.44,0.46,7083.5,7384.0
300.0,-0.08000000000004093,193.0,193.0,0.0,100.0,0.0,0.0,3.69,3.23,0.0,4.0,-1.15,-1.28,-0.03,0.44,7015.0,7438.0
305.0,-0.07999999999998408,194.0,195.0,100.0,100.0,0.0,0.0,3.09,2.68,4.0,4.0,-1.26,-1.49,0.47,0.44,5773.0,7470.0
310.0,-0.09000000000003183,195.0,196.0,100.0,100.0,0.0,0.0,2.635,2.53,4.0,4.0,-1.005,-1.2,0.425,0.42,5874.5,7491.0
315.0,-0.07999999999998408,196.0,197.0,100.0,100.0,0.0,0.0,3.07,2.92,4.0,4.0,-0.85,-0.84,0.39,0.34,6063.0,7685.0
320.0,-0.10000000000002274,198.0,198.0,100.0,100.0,0.0,0.0,2.57,2.68,4.0,4.0,-1.25,-1.61,0.42,0.58,5956.0,7664.0
325.0,-0.07999999999998408,199.0,200.0,100.0,100.0,0.0,0.0,2.44,2.0,4.0,4.0,-1.1,-1.51,0.41,0.41,6002.0,7643.0
330.0,-0.10000000000002274,200.0,201.0,100.0,100.0,0.0,0.0,2.63,1.32,4.0,4.0,-0.57,-0.73,0.34,0.32,6087.0,7763.0
335.0,-0.07999999999998408,202.0,202.0,100.0,100.0,0.0,0.0,3.41,1.43,4.0,4.0,-1.12,-1.0,0.57,0.53,6128.0,8041.0
340.0,-0.10000000000002274,203.0,203.0,100.0,100.0,0.0,0.0,4.38,1.08,4.0,4.0,-1.26,-1.36,0.39,0.43,6133.0,7804.0
345.0,-0.07999999999998408,204.0,205.0,100.0,100.0,0.0,0.0,4.67,1.36,4.0,4.0,-1.34,-1.23,0.41,0.41,6157.0,7839.0
350.0,-0.08999999999997499,205.0,206.0,100.0,100.0,0.0,0.0,4.824999999999999,2.62,4.0,4.0,-1.33,-1.13,0.385,0.41,6201.5,7886.0
355.0,-0.09000000000003183,206.0,207.0,100.0,100.0,0.0,0.0,5.31,4.244999999999999,4.0,4.0,-1.34,-1.185,0.4,0.4,6237.0,7929.0
360.0,-0.07999999999998408,207.0,208.0,100.0,100.0,0.0,0.0,6.97,5.49,4.0,4.0,-1.28,-1.14,0.34,0.38,6340.0,8033.0
365.0,-0.10000000000002274,208.0,209.0,100.0,100.0,0.0,0.0,8.74,5.36,4.0,4.0,-1.3,-1.17,0.36,0.39,6352.0,8046.0
370.0,-0.10000000000002274,209.0,210.0,92.0,100.0,0.0,0.0,9.71,5.24,4.0,4.0,-1.07,-1.1,0.28,0.36,6464.0,8134.0
375.0,-0.07999999999998408,210.0,211.0,81.0,100.0,0.0,0.0,10.92,5.5,4.0,4.0,-1.45,-1.37,0.2,0.37,6477.0,8282.0
380.0,-0.09000000000000341,210.0,212.0,83.0,100.0,0.0,0.0,11.025,5.68,4.0,4.0,-2.93,-2.62,0.25,0.47,6347.5,8169.0
385.0,-0.10000000000002274,211.0,212.0,83.0,100.0,0.0,0.0,11.31,5.88,4.0,4.0,-1.59,-2.0,0.26,0.36,6380.0,8109.0
390.0,-0.08999999999997499,211.0,213.0,72.0,100.0,0.0,0.0,12.29,4.785,4.0,4.0,-1.04,-0.625,0.18,-0.010000000000000002,6704.0,8632.0
395.0,-0.08000000000004093,212.0,213.0,75.0,100.0,0.0,0.0,12.62,3.07,4.0,4.0,-2.16,-2.18,0.28,0.47,6437.0,8321.0
400.0,-0.0999999999999659,212.0,214.0,79.0,100.0,0.0,0.0,12.66,3.83,4.0,4.0,-2.14,-2.48,0.26,0.41,6436.0,8211.0
405.0,-0.10000000000002274,212.0,215.0,76.0,100.0,0.0,0.0,12.97,5.89,4.0,4.0,-1.68,-1.48,0.18,0.27,6479.0,8310.0
410.0,-0.10000000000002274,213.0,215.0,80.0,100.0,0.0,0.0,13.1,6.82,4.0,4.0,-1.89,-1.45,0.27,0.41,6448.0,8395.0
415.0,-0.09000000000000341,213.0,215.5,80.0,0.0,0.0,0.0,13.31,8.585,4.0,0.0,-1.84,-2.205,0.23,-0.11499999999999999,6473.0,8168.5
420.0,-0.09000000000000341,214.0,216.0,83.0,100.0,0.0,0.0,12.975000000000001,9.01,4.0,5.0,-2.1500000000000004,-2.16,0.28500000000000003,0.25,6473.0,7058.0
425.0,-0.10000000000002274,214.0,217.0,86.0,100.0,0.0,0.0,12.35,9.39,4.0,5.0,-2.56,-2.27,0.28,0.29,6466.0,7024.0
430.0,-0.0999999999999659,215.0,217.0,86.0,100.0,0.0,0.0,11.52,9.43,4.0,5.0,-2.13,-2.65,0.28,0.34,6469.0,7022.0
