id,name,segment_start_m,segment_end_m,apex_d,ref_vmin,drv_vmin,drv_vmin_d,d_vmin,time_lost,ref_brake_d,drv_brake_d,d_brake_m,ref_gas100_d,drv_gas100_d,d_gas100_m,ref_slip,drv_slip,ref_abs,drv_abs,flags
C01,C01,-372,252,78,88,70,158,-18,2.367,0,0,0,146,210,64,2.78,5.0,2,2,vmin
C02,C02,252,652,413,201,137,252,-64,1.133,,,,483,254,-229,0.14,0.31,0,0,vmin
C03,C03,652,950,877,119,116,871,-3,0.55,806,826,20,944,917,-27,2.75,2.59,1,4,frenada
C04,C04,950,1094,1064,143,118,1094,-25,0.325,,,,,,,1.69,0.89,0,1,vmin
C05,C05,1094,1252,1165,120,101,1158,-19,0.6,1122,1130,8,1193,1197,4,0.71,0.64,0,0,vmin
C06,C06,1252,1690,1340,113,93,1345,-20,0.658,1263,1272,9,1500,1467,-33,1.15,0.93,0,0,vmin
C07,C07,1744,2215,2200,221,202,2167,-19,0.25,2107,2056,-51,,,,0.29,0.66,0,0,vmin+frenada
C08,C08,2215,2633,2225,220,205,2217,-15,0.367,,,,2307,2316,9,0.0,0.16,0,0,vmin
C09,C09,2983,3556,3412,250,219,3556,-31,0.383,3291,3524,233,,,,0.56,0.27,0,0,vmin+frenada
C10,C10,3556,4029,3679,114,115,3693,1,0.025,3557,3556,-1,3866,3786,-80,2.88,0.96,5,0,
C11,C11,4330,4840,4836,188,157,4840,-31,0.396,4647,4636,-11,,,,0.89,0.36,1,0,vmin
C12,C12,4840,4971,4901,141,122,4970,-19,0.225,4841,4956,115,,,,2.15,0.28,0,0,vmin+frenada
C13,C13,4971,5072,5041,80,78,5040,-2,0.375,4972,4972,0,,,,6.23,1.44,3,0,
C14,C14,5072,5448,5097,96,93,5102,-3,0.125,,,,5157,5154,-3,1.41,0.55,0,0,
C15,C15,5448,5900,5791,197,182,5870,-15,-0.1,5681,5705,24,,,,0.49,1.26,0,1,vmin+frenada
C16,C16,5900,6149,6009,118,110,5990,-8,0.425,5900,5910,10,6125,6128,3,2.29,2.37,0,0,vmin
C17,C17,6149,6430,6289,103,98,6289,-5,0.142,6197,6195,-2,6379,6344,-35,3.45,2.41,0,0,
C18,C18,6430,6686,6572,183,168,6432,-15,-0.033,,,,6590,6434,-156,0.16,0.13,0,0,vmin
C19,C19,6686,7012,6801,177,176,6808,-1,0.033,6719,6707,-12,6945,6910,-35,1.11,0.86,0,0,
C20,C20,7012,7467,7223,80,76,7222,-4,0.058,7140,7038,-102,7334,7247,-87,2.86,2.16,3,1,frenada
C21,C21,7467,7818,7706,132,127,7695,-5,-0.075,7585,7585,0,7816,7801,-15,1.78,2.24,0,1,
C22,C22,7818,8193,7926,125,123,7913,-2,-0.083,7857,7852,-5,7972,7966,-6,1.71,1.68,1,3,
C23,C23,8193,8576,8398,235,207,8194,-28,-0.067,,,,8463,8197,-266,0.23,0.21,0,0,vmin
C24,C24,8576,9041,8691,122,117,8685,-5,0.183,8576,8576,0,8818,8781,-37,1.64,1.63,1,2,
C25,C25,9230,10030,9613,255,222,9235,-33,0.429,,,,9684,9309,-375,0.02,0.14,0,0,vmin
C26,C26,10195,10859,10645,211,210,10634,-1,0.567,10503,10470,-33,10674,10689,15,0.43,0.21,0,0,frenada
C27,C27,10859,11228,11073,228,182,11228,-46,0.367,,,,,,,0.28,0.05,0,0,vmin
C28,C28,11228,11567,11382,92,100,11325,8,0.367,11228,11228,0,11450,11451,1,2.57,1.07,1,0,vmin
C29,C29,11567,11799,11771,90,85,11786,-5,0.033,11666,11668,2,,,,9.29,4.12,5,5,
C30,C30,11799,12068,11821,92,90,11799,-2,-0.167,,,,11899,11860,-39,7.34,4.46,0,0,
C31,C31,12068,12415,12233,217,190,12068,-27,0.383,,,,,,,0.13,0.0,0,0,vmin
C32,C32,12415,12586,12584,155,159,12585,4,0.317,12438,12440,2,,,,1.39,0.69,0,0,
C33,C33,12586,12700,12633,140,102,12645,-38,0.575,12587,12605,18,12672,12656,-16,1.35,4.1,1,3,vmin+frenada
C34,C34,12700,12926,12766,136,127,12737,-9,0.208,,,,12858,12831,-27,2.18,1.27,2,0,vmin
C35,C35,12926,13162,13142,200,177,13161,-23,0.283,,,,,,,0.38,0.07,0,0,vmin
C36,C36,13162,13286,13240,164,153,13283,-11,0.125,13163,13163,0,,,,1.22,0.81,0,1,vmin
C37,C37,13286,13420,13332,162,151,13294,-11,0.125,,,,13372,13345,-27,1.23,0.2,0,0,vmin
C38,C38,13420,13615,13508,136,131,13511,-5,-0.0,13433,13432,-1,13597,13548,-49,4.33,1.99,0,1,
C39,C39,13615,13822,13722,135,135,13719,0,0.025,13661,13654,-7,,,,2.74,2.26,1,1,
C40,C40,13822,14025,13923,139,133,13914,-6,0.075,13866,13860,-6,13994,13987,-7,1.22,1.92,1,1,vmin
C41,C41,14025,14169,14165,132,130,14166,-2,0.1,14082,14079,-3,,,,1.77,2.39,1,0,
C42,C42,14169,14324,14211,122,117,14222,-5,0.183,,,,14237,14238,1,0.96,0.97,0,0,
C43,C43,14324,14598,14436,120,118,14437,-2,0.092,14344,14348,4,14566,14485,-81,2.83,1.68,0,0,
C44,C44,14598,14927,14705,203,175,14598,-28,-0.042,,,,14763,14601,-162,0.14,0.33,0,0,vmin
C45,C45,14927,15174,15094,172,172,15022,0,0.05,14930,14937,7,15138,15147,9,3.88,3.6,1,2,
C46,C46,15174,15429,15203,187,186,15202,-1,0.033,,,,15279,15257,-22,0.73,0.06,0,0,
C47,C47,15429,15707,15604,217,204,15574,-13,0.267,,,,15631,15611,-20,1.1,0.51,0,0,vmin
C48,C48,15707,16028,15748,232,219,15708,-13,0.033,,,,15853,15711,-142,0.02,0.01,0,0,vmin
C49,C49,16028,16332,16294,185,159,16330,-26,0.183,16203,16309,106,,,,0.21,0.5,0,0,vmin+frenada
C50,C50,16332,16536,16416,119,129,16384,10,-0.183,16332,16333,1,16446,16471,25,2.5,1.91,0,1,vmin
C51,C51,16536,16835,16657,108,112,16654,4,-0.05,16559,16554,-5,16701,16672,-29,5.76,4.02,1,0,
C52,C52,16835,17096,17013,170,161,17004,-9,0.283,16935,16905,-30,17058,17026,-32,0.68,0.76,0,0,vmin+frenada
C53,C53,17096,17529,17179,185,181,17097,-4,0.267,,,,17312,17100,-212,0.14,0.07,0,0,
C54,C54,19525,20104,20048,239,182,19905,-57,1.588,19971,20085,114,,,,1.17,0.59,2,0,vmin+frenada
C55,C55,20104,20302,20233,100,98,20231,-2,0.325,20105,20104,-1,,,,1.93,2.04,1,0,
C56,C56,20302,20721,20371,90,86,20377,-4,0.35,20329,20542,213,20447,20433,-14,2.69,1.97,0,1,frenada
