dist,delta_t,ref_speed,drv_speed,ref_throttle,drv_throttle,ref_brake,drv_brake,ref_steering,drv_steering,ref_gear,drv_gear,ref_glat,drv_glat,ref_glong,drv_glong,ref_rpm,drv_rpm
0.0,0.0,150.0,125.0,0.0,0.0,68.0,76.0,0.66,1.08,2.0,3.0,-0.18,-0.09,-1.38,-1.26,6492.0,4482.0
5.0,0.02500000000000213,145.5,121.0,0.0,0.0,68.0,68.0,0.08000000000000002,1.43,2.0,0.0,-0.065,-0.04,-0.9299999999999999,-0.77,6103.5,5283.0
10.0,0.07500000000000107,141.0,113.0,0.0,0.0,67.0,64.0,-0.15,0.5650000000000001,2.0,2.0,0.02,-0.06,-1.15,-0.9299999999999999,5345.0,4960.5
15.0,0.09999999999990905,134.0,107.0,0.0,0.0,68.0,55.0,-0.75,0.45,2.0,2.0,0.21,-0.07,-1.65,-0.95,5512.0,4703.0
20.0,0.12500000000013856,128.0,102.0,34.5,69.0,68.0,48.0,-1.475,0.22,0.0,0.0,0.16999999999999998,-0.02,-1.095,-0.75,6370.5,5558.0
25.0,0.1750000000000469,121.5,98.0,0.0,0.0,65.5,25.0,-2.735,-0.35,1.0,1.0,0.24,0.0,-1.3250000000000002,-0.51,6358.5,5530.0
30.0,0.20000000000018225,115.0,96.0,0.0,0.0,60.0,1.5,-3.94,-1.7349999999999999,1.0,1.0,0.46499999999999997,0.13,-1.275,-0.18,6218.0,5445.5
35.0,0.20000000000000284,108.0,95.0,0.0,0.0,48.0,0.0,-7.33,-3.52,1.0,1.0,0.76,0.26,-1.03,-0.15,5895.0,5392.0
40.0,0.24999999999991118,103.0,94.0,0.0,0.0,22.0,0.0,-9.33,-6.16,1.0,1.0,1.01,0.49,-0.55,-0.16,5802.0,5331.0
45.0,0.25000000000009237,101.0,93.0,0.0,0.0,0.0,0.0,-11.89,-8.52,1.0,1.0,0.97,0.66,-0.17,-0.15,5728.0,5264.0
50.0,0.27500000000013713,100.0,92.0,0.0,0.0,0.0,0.0,-15.825,-12.23,1.0,1.0,1.2349999999999999,0.87,-0.18,-0.15,5651.5,5195.0
55.0,0.3000000000001819,99.0,90.0,0.0,0.0,0.0,0.0,-20.13,-16.77,1.0,1.0,1.17,1.03,-0.16,-0.16,5576.0,5124.0
60.0,0.2999999999999119,97.0,88.0,0.0,0.0,0.0,25.0,-24.07,-22.86,1.0,1.0,1.79,1.66,-0.23,-0.48,5488.0,5006.0
