id,name,segment_start_m,segment_end_m,apex_d,ref_vmin,drv_vmin,drv_vmin_d,d_vmin,time_lost,ref_brake_d,drv_brake_d,d_brake_m,ref_gas100_d,drv_gas100_d,d_gas100_m,ref_slip,drv_slip,ref_abs,drv_abs,flags
C01,C01,-372,252,78,88,77,75,-11,0.1,0,0,0,146,129,-17,2.78,3.55,2,2,vmin
C02,C02,252,652,413,201,177,253,-24,-0.1,,,,483,256,-227,0.14,0.22,0,0,vmin
C03,C03,652,950,877,119,127,875,8,-0.1,806,810,4,,,,2.75,3.38,1,3,vmin
C04,C04,950,1094,1064,143,134,1090,-9,-0.025,,,,,,,1.69,2.48,0,2,vmin
C05,C05,1094,1252,1165,120,122,1155,2,-0.075,,,,1193,1219,26,0.71,1.8,0,0,
C06,C06,1252,1690,1340,113,111,1344,-2,0.05,1263,1278,15,1500,1472,-28,1.15,1.6,0,0,
C07,C07,1744,2215,2200,221,222,2196,1,0.017,2107,2107,0,,,,0.29,0.54,0,0,
C08,C08,2215,2633,2225,220,223,2215,3,-0.079,,,,2307,2308,1,0.0,0.0,0,0,
C09,C09,2983,3556,3412,250,228,3455,-22,0.067,3291,3548,257,,,,0.56,1.91,0,4,vmin+frenada
C10,C10,3556,4029,3679,114,112,3670,-2,0.025,3557,3557,0,3866,3817,-49,2.88,1.92,5,2,
C11,C11,4330,4840,4836,188,178,4840,-10,-0.012,4647,4822,175,,,,0.89,0.86,1,0,vmin+frenada
C12,C12,4840,4971,4901,141,129,4893,-12,0.275,4841,4840,-1,,,,2.15,5.16,0,1,vmin
C13,C13,4971,5072,5041,80,76,5070,-4,-0.225,4972,4988,16,,,,6.23,4.96,3,4,frenada
C14,C14,5072,5448,5097,96,76,5072,-20,0.892,,,,5157,5165,8,1.41,0.66,0,0,vmin
C15,C15,5448,5900,5791,197,201,5810,4,-0.117,5681,5728,47,5837,5863,26,0.49,1.33,0,2,frenada
C16,C16,5900,6149,6009,118,99,6021,-19,0.367,5900,5915,15,6125,6049,-76,2.29,3.32,0,5,vmin
C17,C17,6149,6430,6289,103,100,6286,-3,0.158,6197,6205,8,6379,6359,-20,3.45,2.78,0,0,
C18,C18,6430,6686,6572,183,162,6431,-21,-0.025,,,,6590,6434,-156,0.16,0.39,0,0,vmin
C19,C19,6686,7012,6801,177,165,6825,-12,0.15,6719,6726,7,6945,6939,-6,1.11,1.73,0,1,vmin
C20,C20,7012,7467,7223,80,81,7244,1,0.3,7140,7160,20,7334,7346,12,2.86,2.91,3,6,frenada
C21,C21,7467,7818,7706,132,116,7711,-16,0.125,7585,7610,25,,,,1.78,3.41,0,1,vmin+frenada
C22,C22,7818,8193,7926,125,122,7930,-3,0.375,7857,7885,28,7972,7985,13,1.71,2.02,1,1,frenada
C23,C23,8193,8576,8398,235,200,8195,-35,0.1,,,,8463,8198,-265,0.23,0.24,0,0,vmin
C24,C24,8576,9041,8691,122,119,8686,-3,0.467,8576,8576,0,8818,8813,-5,1.64,1.32,1,0,
C25,C25,9230,10030,9613,255,226,9230,-29,0.083,,,,9684,9233,-451,0.02,0.06,0,0,vmin
C26,C26,10195,10859,10645,211,209,10691,-2,0.121,10503,10501,-2,10674,10717,43,0.43,0.2,0,0,
