dist,delta_t,ref_speed,drv_speed,ref_throttle,drv_throttle,ref_brake,drv_brake,ref_steering,drv_steering,ref_gear,drv_gear,ref_glat,drv_glat,ref_glong,drv_glong,ref_rpm,drv_rpm
0.0,0.0,150.0,157.0,0.0,0.0,68.0,73.0,0.66,0.78,2.0,3.0,-0.18,-0.35,-1.38,-1.49,6492.0,5511.0
5.0,1.1368683772161603e-13,145.5,151.5,0.0,0.0,68.0,69.0,0.08000000000000002,0.405,2.0,3.0,-0.065,-0.08000000000000002,-0.9299999999999999,-0.79,6103.5,5044.5
10.0,0.0,141.0,147.0,0.0,0.0,67.0,68.0,-0.15,-0.21,2.0,3.0,0.02,0.01,-1.15,-1.22,5345.0,4687.0
15.0,-0.024999999999977263,134.0,141.0,0.0,23.0,68.0,70.0,-0.75,-0.024999999999999994,2.0,0.0,0.21,0.055,-1.65,-1.4,5512.0,5917.0
20.0,-0.024999999999863576,128.0,135.0,34.5,0.0,68.0,73.0,-1.475,0.2,0.0,2.0,0.16999999999999998,0.01,-1.095,-1.39,6370.5,5789.0
25.0,-0.04999999999984084,121.5,129.0,0.0,0.0,65.5,72.0,-2.735,0.575,1.0,2.0,0.24,0.0,-1.3250000000000002,-1.385,6358.5,5153.5
30.0,-0.04999999999972715,115.0,122.0,0.0,69.0,60.0,66.0,-3.94,0.13,1.0,0.0,0.46499999999999997,0.01,-1.275,-1.25,6218.0,5783.5
35.0,-0.07499999999993179,108.0,115.0,0.0,0.0,48.0,68.0,-7.33,-1.205,1.0,1.0,0.76,0.095,-1.03,-1.315,5895.0,6195.0
40.0,-0.049999999999954525,103.0,107.0,0.0,0.0,22.0,73.0,-9.33,-4.55,1.0,1.0,1.01,0.34,-0.55,-1.42,5802.0,5808.0
45.0,-0.0749999999998181,101.0,98.5,0.0,0.0,0.0,63.5,-11.89,-9.735,1.0,1.0,0.97,0.705,-0.17,-1.215,5728.0,5375.0
50.0,-0.0749999999998181,100.0,92.0,0.0,0.0,0.0,43.0,-15.825,-15.2,1.0,1.0,1.2349999999999999,1.09,-0.18,-0.93,5651.5,5045.0
55.0,-0.02499999999974989,99.0,86.5,0.0,0.0,0.0,9.0,-20.13,-21.15,1.0,1.0,1.17,1.4449999999999998,-0.16,-0.39,5576.0,4866.5
60.0,0.0,97.0,84.0,0.0,0.0,0.0,6.0,-24.07,-26.03,1.0,1.0,1.79,1.61,-0.23,-0.32,5488.0,4723.0
65.0,2.2737367544323206e-13,95.0,81.0,0.0,0.0,0.0,0.0,-26.82,-29.85,1.0,1.0,1.81,1.72,-0.24,-0.23,5338.0,4623.0
70.0,0.07500000000027285,93.0,79.0,0.0,0.0,0.0,0.0,-28.725,-33.57,1.0,1.0,1.875,1.8,-0.24,-0.25,5245.5,4478.0
75.0,0.07500000000027285,90.5,77.0,0.0,11.0,0.0,0.0,-31.045,-34.7,1.0,1.0,2.19,1.7,-0.28,-0.12,5091.0,4478.0
80.0,0.12500000000022737,88.0,78.0,19.5,51.0,0.0,0.0,-30.78,-32.51,1.0,1.0,2.0549999999999997,1.8,-0.02,0.21,5133.0,4643.0
85.0,0.125,88.0,80.5,49.0,59.0,0.0,0.0,-25.66,-26.305,1.0,1.0,1.83,1.72,0.17,0.345,5183.0,4806.5
90.0,0.15000000000009095,89.0,84.0,56.0,73.0,0.0,0.0,-19.62,-17.28,1.0,1.0,1.65,1.35,0.27,0.48,5308.0,5010.0
95.0,0.15000000000031832,92.0,87.0,57.0,84.0,0.0,0.0,-15.45,-11.2,1.0,1.0,1.37,1.11,0.39,0.67,5502.0,5325.0
100.0,0.1750000000001819,94.5,92.0,61.5,82.0,0.0,0.0,-13.254999999999999,-8.35,1.0,1.0,1.2149999999999999,1.09,0.42000000000000004,0.91,5641.0,5629.0
105.0,0.20000000000004547,97.0,97.0,62.0,77.0,0.0,0.0,-11.45,-5.95,1.0,1.0,1.27,1.1,0.52,0.74,5797.0,6044.0
110.0,0.1750000000001819,100.0,101.5,62.0,79.0,0.0,0.0,-10.89,-4.475,1.0,1.0,1.26,1.085,0.58,0.7050000000000001,6043.0,6249.0
115.0,0.1750000000001819,104.0,106.0,63.5,83.0,0.0,0.0,-8.99,-3.59,1.0,1.0,1.145,1.18,0.5800000000000001,0.76,6229.0,6431.0
120.0,0.15000000000031832,108.0,109.0,62.0,79.0,0.0,0.0,-7.35,-1.6,1.0,1.0,1.19,0.71,0.53,0.52,6505.0,6800.0
125.0,0.1750000000001819,110.0,113.5,70.0,91.0,0.0,0.0,-6.55,-1.125,1.0,1.0,1.19,0.8300000000000001,0.53,0.745,6702.0,6823.5
130.0,0.15000000000020464,114.5,117.5,81.5,99.5,0.0,0.0,-4.494999999999999,-1.915,1.0,1.0,1.16,0.675,0.63,0.8,7015.0,6973.5
135.0,0.15000000000020464,117.5,121.5,84.0,99.0,0.0,0.0,-2.46,-3.41,1.0,1.0,1.31,0.625,0.645,0.76,7128.0,7230.5
140.0,0.15000000000020464,120.5,124.0,91.5,50.0,0.0,0.0,-0.585,-3.56,1.0,1.0,1.0550000000000002,0.665,0.65,0.23,7198.0,7117.0
145.0,0.15000000000020464,123.0,126.5,88.5,98.0,0.0,0.0,-0.31,-3.415,2.0,2.0,0.495,0.625,0.8400000000000001,0.8200000000000001,5884.0,5876.0
150.0,0.125,126.5,130.0,100.0,98.0,0.0,0.0,-0.34,-2.48,2.0,2.0,0.33999999999999997,0.66,0.74,0.72,5820.5,6106.0
155.0,0.15000000000009095,130.0,133.0,100.0,100.0,0.0,0.0,-0.76,-1.52,2.0,2.0,0.2,0.58,0.7,0.65,5985.0,6161.0
160.0,0.125,134.0,136.5,100.0,100.0,0.0,0.0,-1.19,-1.03,2.0,2.0,0.25,0.48,0.69,0.6950000000000001,6126.0,6320.5
165.0,0.12500000000022737,137.0,140.0,100.0,100.0,0.0,0.0,-0.87,-0.92,2.0,2.0,0.22,0.42,0.6799999999999999,0.67,6300.0,6464.0
170.0,0.125,140.0,142.5,100.0,100.0,0.0,0.0,0.25,-0.89,2.0,2.0,0.16,0.325,0.72,0.625,6434.0,6558.0
175.0,0.12500000000022737,143.0,146.0,100.0,100.0,0.0,0.0,2.355,-0.13,2.0,2.0,-0.14,0.23,0.69,0.64,6553.5,6660.0
180.0,0.125,146.0,148.5,100.0,100.0,0.0,0.0,3.81,0.62,2.0,2.0,-0.49,0.09,0.65,0.645,6675.0,6785.0
185.0,0.12500000000022737,148.5,151.0,100.0,100.0,0.0,0.0,4.5649999999999995,1.19,2.0,2.0,-0.65,-0.07,0.585,0.62,6806.0,6894.0
190.0,0.125,151.0,154.0,100.0,100.0,0.0,0.0,4.61,1.46,2.0,2.0,-0.64,-0.215,0.59,0.605,6964.0,7031.0
195.0,0.10833333333357587,153.5,155.66666666666666,99.0,100.0,0.0,0.0,4.855,1.5733333333333335,2.0,2.0,-1.0,-0.27999999999999997,0.5800000000000001,0.5733333333333334,7095.5,7102.666666666667
200.0,0.11666666666663605,155.66666666666666,158.0,100.0,100.0,0.0,0.0,4.926666666666667,2.46,2.0,2.0,-1.1233333333333333,-0.43,0.56,0.56,7123.666666666667,7187.0
205.0,0.1250000000001137,156.0,160.0,93.0,50.0,0.0,0.0,5.2,3.42,3.0,2.0,-0.93,-0.6599999999999999,0.79,0.09999999999999998,6003.0,7246.0
210.0,0.10000000000002274,158.5,161.0,99.0,50.0,0.0,0.0,5.28,3.465,3.0,0.0,-0.985,-0.675,0.52,0.35,5968.0,6452.5
215.0,0.12500000000022737,160.5,163.0,100.0,100.0,0.0,0.0,4.57,3.43,3.0,3.0,-0.98,-0.67,0.51,0.53,6025.5,6152.0
220.0,0.10000000000013642,163.0,165.0,100.0,100.0,0.0,0.0,3.6,3.43,3.0,3.0,-1.26,-0.87,0.62,0.54,6050.0,6149.0
225.0,0.1000000000003638,165.0,167.0,100.0,100.0,0.0,0.0,3.71,3.48,3.0,3.0,-1.01,-1.0,0.53,0.56,6123.0,6208.0
230.0,0.1166666666670153,166.0,169.33333333333334,100.0,100.0,0.0,0.0,4.01,3.8833333333333333,3.0,3.0,-1.1,-1.0033333333333334,0.57,0.52,6165.0,6268.0
235.0,0.10833333333342399,168.33333333333334,170.5,100.0,100.0,0.0,0.0,4.01,4.235,3.0,3.0,-0.86,-0.815,0.5,0.45999999999999996,6270.0,6365.0
240.0,0.10000000000025011,170.5,172.5,100.0,100.0,0.0,0.0,4.32,4.295,3.0,3.0,-0.855,-0.98,0.54,0.51,6350.0,6417.5
245.0,0.10000000000002274,171.5,174.5,100.0,100.0,0.0,0.0,4.79,4.14,3.0,3.0,-0.9199999999999999,-0.905,0.52,0.49,6429.5,6483.5
250.0,0.10000000000021192,173.66666666666666,176.66666666666666,100.0,100.0,0.0,0.0,4.713333333333333,4.08,3.0,3.0,-1.1833333333333333,-1.1033333333333333,0.49666666666666665,0.54,6486.333333333333,6555.333333333333
255.0,0.10000000000021192,175.66666666666666,177.66666666666666,100.0,100.0,0.0,0.0,4.1066666666666665,4.263333333333334,3.0,3.0,-1.2566666666666666,-1.22,0.5033333333333333,0.49666666666666665,6512.333333333333,6596.0
260.0,0.10000000000021281,177.66666666666666,179.66666666666666,100.0,100.0,0.0,0.0,3.8866666666666667,5.1066666666666665,3.0,3.0,-0.8466666666666667,-0.9333333333333333,0.42,0.45666666666666667,6617.0,6669.0
265.0,0.1000000000002883,179.33333333333334,181.0,100.0,99.0,0.0,0.0,3.9899999999999998,5.65,3.0,3.0,-1.24,-1.2,0.5433333333333333,0.49,6695.0,6852.666666666667
270.0,0.09999999999998455,180.66666666666666,182.66666666666666,100.0,100.0,0.0,0.0,3.65,5.65,3.0,3.0,-1.0766666666666667,-1.4166666666666667,0.4766666666666666,0.45666666666666667,6682.666666666667,6753.666666666667
275.0,0.10000000000021192,182.66666666666666,184.0,100.0,100.0,0.0,0.0,2.9766666666666666,5.7299999999999995,3.0,3.0,-0.9566666666666667,-1.1666666666666665,0.5133333333333334,0.44333333333333336,6789.333333333333,6899.333333333333
280.0,0.10000000000021281,183.66666666666666,185.66666666666666,100.0,100.0,0.0,0.0,2.85,5.716666666666667,3.0,3.0,-1.0433333333333334,-1.44,0.47333333333333333,0.42333333333333334,6811.0,6912.0
285.0,0.09166666666684797,185.66666666666666,187.0,100.0,100.0,0.0,0.0,2.97,4.745,3.0,3.0,-1.0166666666666666,-1.625,0.4766666666666666,0.49,6854.666666666667,6930.0
290.0,0.09166666666696166,187.0,188.5,100.0,100.0,0.0,0.0,3.0866666666666664,3.88,3.0,3.0,-0.9433333333333334,-1.365,0.4766666666666667,0.435,6934.666666666667,6983.5
295.0,0.09166666666669698,188.5,190.0,50.0,100.0,0.0,0.0,3.4450000000000003,3.73,3.0,3.0,-0.935,-1.3599999999999999,0.255,0.5233333333333333,6876.5,7054.666666666667
300.0,0.09166666666692436,189.5,191.33333333333334,90.0,100.0,0.0,0.0,4.375,3.73,3.0,3.0,-1.155,-1.28,0.19499999999999998,0.44,6076.0,7089.666666666667
305.0,0.0833333333336359,190.33333333333334,192.0,100.0,100.0,0.0,0.0,4.46,3.78,4.0,3.0,-1.2766666666666666,-1.32,0.45999999999999996,0.43,5741.333333333333,7105.0
310.0,0.08333333333333393,192.33333333333334,194.0,100.0,100.0,0.0,0.0,3.6766666666666667,4.16,4.0,3.0,-1.0366666666666666,-1.2,0.38666666666666666,0.4,5819.333333333333,7123.0
315.0,0.10000000000013642,193.0,195.0,100.0,100.0,0.0,0.0,3.03,4.98,4.0,3.0,-1.12,-1.0,0.47,0.3,5963.0,7192.0
320.0,0.08333333333348492,195.0,195.0,100.0,0.0,0.0,0.0,2.33,4.51,4.0,0.0,-1.27,-1.6199999999999999,0.41,-0.12666666666666668,5875.0,6913.333333333333
325.0,0.0833333333336359,196.0,195.66666666666666,100.0,100.0,0.0,0.0,2.3,3.3366666666666664,4.0,4.0,-0.95,-1.41,0.41,0.45333333333333337,5915.0,6050.333333333333
330.0,0.0833333333336359,197.66666666666666,197.33333333333334,100.0,100.0,0.0,0.0,2.2866666666666666,2.2866666666666666,4.0,4.0,-0.6866666666666666,-0.8033333333333333,0.3933333333333333,0.3766666666666667,6072.0,6010.0
335.0,0.09166666666669698,198.5,198.33333333333334,100.0,100.0,0.0,0.0,2.0949999999999998,2.2333333333333334,4.0,4.0,-0.88,-1.08,0.47500000000000003,0.48333333333333334,6057.0,6105.0
340.0,0.0833333333336359,200.0,200.0,100.0,100.0,0.0,0.0,1.9766666666666666,2.43,4.0,4.0,-0.9166666666666667,-1.19,0.41,0.42,6029.666666666667,6038.0
345.0,0.1000000000003638,201.0,201.0,100.0,100.0,0.0,0.0,2.3,2.92,4.0,4.0,-0.91,-1.13,0.42,0.41,6067.0,6067.0
350.0,0.08333333333325754,202.0,202.66666666666666,100.0,100.0,0.0,0.0,3.42,3.3200000000000003,4.0,4.0,-0.85,-1.0933333333333333,0.37,0.41666666666666663,6109.0,6107.333333333333
355.0,0.0833333333335613,203.66666666666666,203.33333333333334,100.0,100.0,0.0,0.0,3.9033333333333333,3.2666666666666666,4.0,4.0,-0.9966666666666667,-1.01,0.4066666666666667,0.41666666666666663,6153.333333333333,6143.333333333333
360.0,0.10000000000028741,205.0,204.33333333333334,87.33333333333333,100.0,0.0,0.0,3.9533333333333336,3.15,4.0,4.0,-0.9933333333333333,-0.9366666666666666,0.33666666666666667,0.37,6174.333333333333,6199.0
365.0,0.08333333333333393,205.33333333333334,206.0,46.333333333333336,100.0,0.0,0.0,4.5600000000000005,3.26,4.0,4.0,-1.0633333333333335,-0.95,0.23666666666666666,0.38,6174.666666666667,6234.0
370.0,0.08333333333348492,206.0,206.66666666666666,22.0,100.0,0.0,0.0,4.87,3.73,4.0,4.0,-0.94,-0.9033333333333333,0.12,0.37333333333333335,6156.0,6291.666666666667
375.0,0.0833333333335613,206.0,208.0,17.0,100.0,0.0,0.0,4.87,4.343333333333334,4.0,4.0,-1.4,-1.05,0.07333333333333333,0.39666666666666667,6155.666666666667,6352.0
380.0,0.08333333333333393,206.0,209.0,12.666666666666666,95.0,0.0,0.0,5.116666666666666,4.98,4.0,4.0,-1.6233333333333333,-1.77,0.006666666666666668,0.38,6113.333333333333,6272.0
385.0,0.0833333333335613,206.0,210.0,0.6666666666666667,76.0,0.0,0.0,6.613333333333333,5.59,4.0,4.0,-0.98,-1.41,-0.09,0.29,6083.0,6296.0
390.0,0.08333333333348492,205.0,210.66666666666666,0.0,67.0,0.0,0.0,8.33,7.043333333333333,4.0,4.0,-1.61,-1.15,-0.17,0.2966666666666667,6049.0,6476.666666666667
395.0,0.08333333333348492,204.33333333333334,211.0,0.0,65.66666666666667,0.0,0.0,9.796666666666667,8.053333333333333,4.0,4.0,-2.1166666666666667,-1.9233333333333333,-0.19333333333333333,0.26333333333333336,6031.0,6370.0
400.0,0.07500000000027285,204.0,212.0,0.0,61.0,0.0,0.0,10.675,8.85,4.0,4.0,-1.8599999999999999,-1.95,-0.18,0.19,6002.5,6363.0
405.0,0.06666666666675702,203.0,212.0,0.0,49.333333333333336,0.0,0.0,11.533333333333333,10.103333333333333,4.0,4.0,-1.6333333333333333,-1.6466666666666667,-0.16666666666666669,0.16666666666666669,5965.666666666667,6388.0
410.0,0.06666666666690979,202.0,212.0,0.0,45.333333333333336,0.0,0.0,12.09,11.213333333333335,4.0,4.0,-1.79,-1.7566666666666666,-0.17,0.18666666666666668,5943.0,6392.333333333333
415.0,0.05000000000040927,201.0,213.0,30.0,40.0,0.0,0.0,12.97,12.64,4.0,4.0,-2.24,-2.04,0.0,0.11,5996.0,6389.0
420.0,0.05000000000003091,201.0,213.0,70.33333333333333,40.0,0.0,0.0,13.326666666666666,13.483333333333333,4.0,4.0,-2.1966666666666668,-2.143333333333333,0.09333333333333334,0.13,6035.333333333333,6385.0
425.0,0.06666666666690801,201.0,213.0,82.33333333333333,39.333333333333336,0.0,0.0,13.346666666666666,14.043333333333333,4.0,4.0,-2.4833333333333334,-2.4666666666666663,0.13,0.10333333333333333,6038.666666666667,6376.666666666667
430.0,0.05000000000033289,201.0,213.0,81.33333333333333,39.333333333333336,0.0,0.0,13.103333333333333,14.256666666666666,4.0,4.0,-1.7766666666666666,-2.3233333333333333,0.18,0.12333333333333334,6073.0,6370.0
435.0,0.049999999999954525,202.0,213.0,80.0,38.0,0.0,0.0,12.73,14.41,4.0,4.0,-1.61,-1.61,0.29,0.06,6141.0,6417.0
440.0,0.03333333333345401,202.0,213.0,81.0,40.666666666666664,0.0,0.0,12.21,14.690000000000001,4.0,4.0,-2.64,-2.3233333333333333,0.27,0.11333333333333334,6099.0,6413.0
445.0,0.033333333333606774,202.0,212.0,84.0,48.0,0.0,0.0,11.696666666666667,14.633333333333333,4.0,4.0,-2.2466666666666666,-2.8833333333333333,0.27999999999999997,0.13,6099.333333333333,6369.666666666667
450.0,0.0333333333333794,203.0,212.0,82.33333333333333,58.0,0.0,0.0,11.166666666666668,14.36,4.0,4.0,-2.05,-2.11,0.25,0.14,6152.0,6382.0
455.0,0.016666666666878882,203.33333333333334,212.0,83.0,56.333333333333336,0.0,0.0,10.393333333333334,14.323333333333334,4.0,4.0,-2.37,-2.4099999999999997,0.29,0.16333333333333333,6138.666666666667,6410.666666666667
